Date,SOXL,SOXL,SOXS,SOXS,SPXL,SPXL
9/19/2016,2.862,5494500,10128,594,23.3675,6420800
9/20/2016,2.826,3736500,10254,726,23.377501,3504800
9/21/2016,2.936667,3955500,9822,514,24.145,6676400
9/22/2016,2.970667,4545000,9702,322,24.6,4320800
9/23/2016,2.876,2404500,10038,252,24.1975,3593200
9/26/2016,2.786667,2850000,10320,356,23.625,6629200
9/27/2016,2.936667,4380000,9780,779,24.055,3959200
9/28/2016,2.956,4860000,9720,623,24.415001,4882800
9/29/2016,3.064667,12943500,9348,1152,23.727501,8038800
9/30/2016,3.207333,7447500,8928,1203,24.295,5385600
10/3/2016,3.140667,3537000,9096,737,24.065001,3846000
10/4/2016,3.116667,4381500,9174,473,23.747499,5207600
10/5/2016,3.189333,3516000,8958,667,24.022499,3939200
10/6/2016,3.244667,4366500,8796,694,24.09,2600800
10/7/2016,3.226,4740000,8844,677,23.842501,5418400
10/10/2016,3.178,4125000,8976,537,24.1875,4122400
10/11/2016,2.979333,11005500,9540,1553,23.305,8120000
10/12/2016,2.946,4563000,9648,955,23.385,5792800
10/13/2016,2.839333,7308000,9996,1816,23.155001,5972000
10/14/2016,2.908667,8758500,9744,880,23.165001,5942000
10/17/2016,2.859333,3201000,9912,500,22.934999,4492400
10/18/2016,2.964,3852000,9540,703,23.3325,5958000
10/19/2016,2.92,4539000,9684,456,23.525,2146000
10/20/2016,2.982667,4458000,9480,521,23.4,4296400
10/21/2016,2.958667,3619500,9558,368,23.43,3824800
10/24/2016,3.123333,4044000,9024,419,23.7075,4127200
10/25/2016,3.116,4288500,9048,653,23.5075,5372000
10/26/2016,3.098,4497000,9090,451,23.352501,4628000
10/27/2016,3.056667,4950000,9204,597,23.16,3555600
10/28/2016,3.004,5382000,9378,933,22.942499,7927200
10/31/2016,3.051333,2971500,9222,361,22.92,3772400
11/1/2016,2.965333,5791500,9468,800,22.450001,8182000
11/2/2016,2.906,6438000,9660,629,22.0275,5886400
11/3/2016,2.886667,5181000,9720,479,21.7325,6000800
11/4/2016,2.836,2907000,9888,574,21.639999,4517600
11/7/2016,3.081333,3789000,9036,543,23.057501,6525200
11/8/2016,3.101333,4149000,8982,461,23.379999,6892000
11/9/2016,3.052,8143500,9108,2433,24.129999,10286800
11/10/2016,2.860667,11700000,9696,1355,24.285,8039600
11/11/2016,3.183333,8976000,8622,1026,24.147499,5265200
11/14/2016,3.13,3526500,8724,441,24.184999,4454000
11/15/2016,3.310667,5700000,8232,482,24.737499,5878000
11/16/2016,3.425333,6178500,7938,474,24.6425,2623600
11/17/2016,3.537333,4744500,7698,434,24.985001,3218000
11/18/2016,3.61,3157500,7524,548,24.815001,2643600
11/21/2016,3.658,4183500,7368,1147,25.362499,2594400
11/22/2016,3.804667,5646000,7122,647,25.530001,4909200
11/23/2016,3.82,3952500,7104,434,25.577499,2710400
11/25/2016,3.836,1351500,7086,124,25.85,2276000
11/28/2016,3.804,2221500,7128,379,25.4925,2604000
11/29/2016,3.782,1993500,7176,464,25.620001,2066800
11/30/2016,3.714,1819500,7290,519,25.4125,4189600
12/1/2016,3.164667,10963500,8370,2124,25.1525,3791200
12/2/2016,3.287333,6096000,8046,1044,25.18,2244800
12/5/2016,3.407333,6199500,7752,780,25.615,3278800
12/6/2016,3.548667,4474500,7422,731,25.875,2393600
12/7/2016,3.773333,6499500,6954,810,26.887501,3237600
12/8/2016,3.87,7072500,6786,840,27.102501,3366800
12/9/2016,3.821333,5371500,6864,873,27.5875,3374800
12/12/2016,3.734667,3918000,7020,716,27.487499,3563200
12/13/2016,3.860667,6130500,6774,754,28.012501,4048000
12/14/2016,3.852,5143500,6804,1166,27.355,6147200
12/15/2016,4.054667,7221000,6426,1657,27.68,4765200
12/16/2016,3.922667,4263000,6636,649,27.5275,4379200
12/19/2016,4.044667,4107000,6438,603,27.6775,2588000
12/20/2016,3.968667,5374500,6264,460,28,2748000
12/21/2016,3.968667,2376000,6246,492,27.790001,2390000
12/22/2016,4.032667,3078000,6162,1167,27.6425,3383200
12/23/2016,4.092667,1362000,6060,572,27.717501,2654000
12/27/2016,4.242,4866000,5838,895,27.9175,1785200
12/28/2016,3.995333,8050500,6186,2332,27.272499,2704800
12/29/2016,3.994667,5998500,6174,1312,27.225,3390800
12/30/2016,3.806667,5214000,6468,1894,26.9375,4903600
1/3/2017,3.812667,6211500,6450,2021,27.5075,3557200
1/4/2017,3.847333,3565500,6396,784,27.995001,3548800
1/5/2017,3.741333,3568500,6564,915,27.93,3352000
1/6/2017,3.831333,4870500,6414,778,28.245001,3386800
1/9/2017,3.954667,5397000,6204,826,27.977501,1995600
1/10/2017,4.014667,3775500,6120,550,27.952499,2475600
1/11/2017,4.052667,3205500,6054,803,28.184999,3181600
1/12/2017,3.948,5007000,6204,1060,27.9825,3253200
1/13/2017,4.022667,4092000,6084,559,28.16,2795600
1/17/2017,3.829333,4072500,6384,980,27.8575,2405600
1/18/2017,3.989333,3651000,6114,630,28.0375,1934800
1/19/2017,3.934667,2694000,6204,453,27.737499,2534800
1/20/2017,4.087333,4134000,5958,1124,28.01,3196800
1/23/2017,4.006667,4033500,6066,859,27.809999,3571600
1/24/2017,4.244667,4725000,5706,1163,28.327499,2754000
1/25/2017,4.431333,5010000,5460,1720,29.030001,3774400
1/26/2017,4.354,3685500,5550,579,28.9625,3257200
1/27/2017,4.519333,3610500,5346,1009,28.8475,2080800
1/30/2017,4.447333,7095000,5424,1180,28.325001,4163600
1/31/2017,4.274,6417000,5640,988,28.2875,2991200
2/1/2017,4.477333,5668500,5364,943,28.325001,3903200
2/2/2017,4.466,4839000,5376,972,28.344999,2627200
2/3/2017,4.543333,2787000,5286,982,28.93,3748400
2/6/2017,4.590667,4750500,5232,1777,28.795,2288400
2/7/2017,4.641333,4060500,5178,1019,28.795,2212400
2/8/2017,4.664,3667500,5148,891,28.889999,1586400
2/9/2017,4.542,5070000,5274,1073,29.4,2447600
2/10/2017,4.531333,5946000,5292,1358,29.74,2306800
2/13/2017,4.563333,4624500,5256,1197,30.2125,2523200
2/14/2017,4.515333,3199500,5304,815,30.605,2172000
2/15/2017,4.628,3541500,5172,1083,31.055,2554800
2/16/2017,4.645333,2700000,5160,1099,30.997499,3195600
2/17/2017,4.72,3577500,5076,777,31.1075,2228400
2/21/2017,4.922667,4737000,4854,742,31.65,2732000
2/22/2017,4.923333,2751000,4848,519,31.602501,2665600
2/23/2017,4.678667,7501500,5094,1374,31.657499,3489200
2/24/2017,4.670667,5176500,5106,1876,31.7875,2390800
2/27/2017,4.805333,3328500,4944,925,31.905001,3122400
2/28/2017,4.619333,4711500,5136,1108,31.645,2719600
3/1/2017,4.836,4848000,4890,1117,32.9575,3872000
3/2/2017,4.686,4126500,5052,1350,32.372501,3061600
3/3/2017,4.677333,3142500,5058,639,32.422501,3098400
3/6/2017,4.684667,3381000,5046,1093,32.119999,2941600
3/7/2017,4.717333,4263000,5016,937,31.8475,3066800
3/8/2017,4.752,4267500,4980,836,31.6625,4086000
3/9/2017,4.774667,2389500,4950,643,31.747499,3416000
3/10/2017,4.939333,4827000,4776,1292,32.055,3942400
3/13/2017,5.054,4614000,4674,812,32.110001,1491200
3/14/2017,5.007333,4156500,4710,575,31.737499,3264400
3/15/2017,5.128667,4375500,4602,1042,32.532501,4504800
3/16/2017,5.108667,2938500,4614,951,32.400002,5068000
3/17/2017,5.136667,2268000,4590,649,32.212502,2408400
3/20/2017,5.251333,3282000,4494,874,32.087502,2757600
3/21/2017,4.886,8511000,4806,2581,30.879999,6515200
3/22/2017,5.042,4558500,4644,2022,31.049999,3771200
3/23/2017,5.003333,3840000,4680,1231,30.959999,3348000
3/24/2017,5.108667,5841000,4572,2299,30.9125,4364000
3/27/2017,5.135333,7363500,4560,1605,30.780001,3237600
3/28/2017,5.186667,4147500,4512,1212,31.432501,2798800
3/29/2017,5.143333,3456000,4548,489,31.5625,2466800
3/30/2017,5.231333,5355000,4470,697,31.8125,2553600
3/31/2017,5.221333,3334500,4476,509,31.5875,2183200
4/3/2017,5.130667,4821000,4554,1146,31.4625,4154400
4/4/2017,5.052,3976500,4620,838,31.512501,4488400
4/5/2017,4.942667,5608500,4722,1358,31.18,4515200
4/6/2017,4.961333,5905500,4704,1658,31.445,1854400
4/7/2017,5.027333,2850000,4644,1073,31.360001,1834000
4/10/2017,4.910667,3631500,4746,1068,31.397499,2067600
4/11/2017,4.791333,7803000,4872,3169,31.3025,2908800
4/12/2017,4.538667,8232000,5112,2360,30.905001,2782800
4/13/2017,4.451333,4864500,5214,1552,30.3025,4100400
4/17/2017,4.625333,5293500,5022,1361,31.067499,2580400
4/18/2017,4.680667,3120000,4956,1404,30.7925,3318800
4/19/2017,4.757333,3657000,4866,1172,30.627501,2571600
4/20/2017,4.985333,5005500,4644,1418,31.3475,2454400
4/21/2017,4.915333,5757000,4698,1454,31.0425,2192000
4/24/2017,5.126667,7372500,4500,2068,32.040001,2588400
4/25/2017,5.286667,4311000,4362,1205,32.607498,2329600
4/26/2017,5.150667,5542500,4464,1338,32.5825,2221600
4/27/2017,5.37,5331000,4278,1485,32.66,2266400
4/28/2017,5.096,7579500,4500,1434,32.439999,2041200
5/1/2017,5.244667,5449500,4365.600098,2945,32.630001,1042100
5/2/2017,5.076,4305000,4506,2032,32.700001,1100100
5/3/2017,5.132,2863500,4455.600098,2820,32.540001,2750700
5/4/2017,5.119333,2571000,4464,3058,32.650002,1366700
5/5/2017,5.174,2940000,4414.799805,2150,33.040001,1258800
5/8/2017,5.116667,1861500,4465.200195,1636,33.049999,1425200
5/9/2017,5.272,4875000,4329.600098,3012,32.970001,1749800
5/10/2017,5.606,6981000,4056,2528,33.110001,699300
5/11/2017,5.662667,3789000,4011.600098,2013,32.93,1253200
5/12/2017,5.714,3030000,3973.199951,1008,32.759998,723000
5/15/2017,5.976,3984000,3793.199951,2483,33.220001,1409300
5/16/2017,6.242667,4143000,3622.800049,2118,33.16,1256900
5/17/2017,5.423333,14551500,4098,6584,31.440001,3034600
5/18/2017,5.734,12283500,3865.199951,4496,31.76,2075500
5/19/2017,5.922667,6928500,3738,2085,32.360001,1548900
5/22/2017,6.112,5236500,3619.199951,2101,32.869999,1140900
5/23/2017,6.041333,4482000,3655.199951,2223,33.080002,1872200
5/24/2017,6.154,3240000,3588,1794,33.299999,943600
5/25/2017,6.257333,3831000,3530.399902,1827,33.77,1614300
5/26/2017,6.332667,4323000,3480,1298,33.799999,885800
5/30/2017,6.459333,4041000,3416.399902,2098,33.700001,559000
5/31/2017,6.457333,6340500,3418.800049,2151,33.650002,1158800
6/1/2017,6.473333,3088500,3410.399902,1082,34.43,1564700
6/2/2017,6.666,5817000,3309.600098,2063,34.740002,1792800
6/5/2017,6.724,4200000,3280.800049,1351,34.66,1483000
6/6/2017,6.790667,5025000,3247.199951,2216,34.360001,1006500
6/7/2017,6.95,6444000,3171.600098,2267,34.560001,1038200
6/8/2017,7.314,7707000,3006,3111,34.599998,1572500
6/9/2017,6.392,32179500,3380.399902,14938,34.450001,2365200
6/12/2017,6.284667,22534500,3434.399902,10536,34.400002,1793200
6/13/2017,6.406,14511000,3370.800049,5125,34.889999,1570000
6/14/2017,6.199333,11181000,3480,3043,34.779999,2799100
6/15/2017,6.05,8821500,3565.199951,4519,34.57,1533600
6/16/2017,5.98,8154000,3602.399902,2331,34.549999,1435300
6/19/2017,6.320667,11425500,3394.800049,3742,35.400002,1888500
6/20/2017,6.110667,8809500,3508.800049,2631,34.75,1043400
6/21/2017,6.318667,6385500,3391.199951,1540,34.700001,781000
6/22/2017,6.271333,7081500,3411.600098,996,34.619999,501600
6/23/2017,6.329333,5433000,3374.399902,1590,34.779999,1366800
6/26/2017,6.172,11284500,3464.399902,3058,34.790001,1472200
6/27/2017,5.673333,13833000,3744,3705,34.009998,3221500
6/28/2017,5.963333,9801000,3546,4039,34.849998,1764400
6/29/2017,5.516,18418500,3816,5618,33.959999,3030800
6/30/2017,5.433333,8343000,3874.800049,3918,34.130001,1723200
7/3/2017,5.2,6811500,4022.399902,1728,34.279999,1307200
7/5/2017,5.53,9180000,3786,3431,34.509998,943700
7/6/2017,5.456667,8092500,3831.600098,3385,33.610001,1423300
7/7/2017,5.724667,7816500,3649.199951,3175,34.200001,1102600
7/10/2017,5.93,6774000,3514.800049,2298,34.299999,820900
7/11/2017,6.069333,7659000,3420,2237,34.25,1443500
7/12/2017,6.358667,14623500,3268.800049,4038,35.009998,1679900
7/13/2017,6.305333,13311000,3295.199951,3140,35.18,993200
7/14/2017,6.557333,9894000,3166.800049,2963,35.619999,1940100
7/17/2017,6.473333,8266500,3204,2425,35.619999,754000
7/18/2017,6.534,5998500,3170.399902,2072,35.68,1209900
7/19/2017,6.709333,6400500,3084,2597,36.259998,1065800
7/20/2017,6.767333,5653500,3060,2326,36.290001,987400
7/21/2017,6.594,6243000,3132,1751,36.220001,1022200
7/24/2017,6.529333,5100000,3166.800049,1253,36.169998,846500
7/25/2017,6.525333,6889500,3170.399902,1389,36.439999,1273400
7/26/2017,6.72,7546500,3066,2491,36.439999,1375800
7/27/2017,6.416667,19879500,3210,5543,36.34,1551200
7/28/2017,6.354,4975500,3252,3073,36.189999,1001900
7/31/2017,6.211333,6486000,3314.399902,3836,36.130001,1037600
8/1/2017,6.315333,4021500,3262.800049,2305,36.349998,887400
8/2/2017,6.180667,8943000,3333.600098,4238,36.400002,1110300
8/3/2017,6.107333,5614500,3373.199951,3075,36.220001,743500
8/4/2017,6.114,3673500,3361.199951,2661,36.389999,991100
8/7/2017,6.432,6843000,3188.399902,2933,36.549999,558400
8/8/2017,6.364667,6391500,3223.199951,2941,36.330002,1060500
8/9/2017,6.302,4788000,3254.399902,2120,36.279999,1500700
8/10/2017,5.776,10722000,3520.800049,5754,34.779999,3793900
8/11/2017,5.871333,5586000,3468,3799,34.889999,2538200
8/14/2017,6.326,6805500,3198,3774,35.91,2081100
8/15/2017,6.372667,3964500,3170.399902,1578,35.91,948700
8/16/2017,6.401333,4659000,3159.600098,2379,36.09,1277800
8/17/2017,5.891333,8376000,3404.399902,5663,34.400002,3538900
8/18/2017,5.945333,5275500,3381.600098,3742,34.23,2157700
8/21/2017,5.818,6723000,3454.800049,3642,34.330002,1750600
8/22/2017,6.094,4810500,3286.800049,2225,35.34,1859500
8/23/2017,6.174667,4038000,3247.199951,2493,34.990002,1340600
8/24/2017,6.167333,3655500,3249.600098,1517,34.73,3856300
8/25/2017,6.075333,3156000,3295.199951,3063,34.939999,1189000
8/28/2017,6.122667,2274000,3270,903,34.990002,913100
8/29/2017,6.166,3357000,3247.199951,2254,35.060001,1381500
8/30/2017,6.48,6849000,3079.199951,3635,35.599998,1707200
8/31/2017,6.67,6339000,2990.399902,2838,36.200001,2357000
9/1/2017,6.757333,4966500,2952,1805,36.389999,2154200
9/5/2017,6.471333,7698000,3069.600098,4758,35.599998,2677300
9/6/2017,6.51,3603000,3055.199951,2881,35.919998,2617900
9/7/2017,6.54,2992500,3043.199951,1169,35.93,2012400
9/8/2017,6.298,4530000,3152.399902,2813,35.759998,1071500
9/11/2017,6.667333,6217500,2967.600098,2453,36.880001,1122100
9/12/2017,6.756667,4447500,2929.199951,2848,37.27,1108100
9/13/2017,6.784,3481500,2914.800049,2488,37.34,654000
9/14/2017,6.878667,4311000,2875.199951,3133,37.299999,630400
9/15/2017,7.227333,6129000,2730,3830,37.419998,721700
9/18/2017,7.514,7929000,2622,6910,37.639999,835100
9/19/2017,7.592,4869000,2593.199951,3795,37.75,386600
9/20/2017,7.272,12088500,2698.800049,9138,37.830002,933900
9/21/2017,7.183333,4734000,2736,5733,37.509998,767900
9/22/2017,7.286,3871500,2700,2613,37.509998,591400
9/25/2017,6.862,10708500,2854.800049,4456,37.299999,1759700
9/26/2017,6.85,7134000,2859.600098,3185,37.349998,1117100
9/27/2017,7.33,7663500,2658,3419,37.740002,1751700
9/28/2017,7.494667,4728000,2598,3732,37.880001,931100
9/29/2017,7.684,6090000,2534.399902,4123,38.23,987400
10/2/2017,7.817333,6615000,2488.800049,3044,38.759998,1159800
10/3/2017,7.894667,4030500,2464.800049,2584,39.02,616500
10/4/2017,7.946667,4509000,2449.199951,3794,39.130001,1407400
10/5/2017,7.963333,4539000,2440.800049,2796,39.82,1349100
10/6/2017,8.066667,2910000,2412,2898,39.689999,1158900
10/9/2017,8.235333,4219500,2356.800049,2713,39.52,961100
10/10/2017,8.395333,5818500,2316,3818,39.799999,1020000
10/11/2017,8.56,4752000,2270.399902,3775,39.990002,1247900
10/12/2017,8.473333,4723500,2293.199951,3510,39.799999,1105900
10/13/2017,8.64,4167000,2248.800049,4833,39.93,1724200
10/16/2017,8.764,4827000,2215.199951,4193,40.080002,1329900
10/17/2017,8.744667,2974500,2220,3357,40.16,999900
10/18/2017,8.830667,6814500,2197.199951,7557,40.259998,894700
10/19/2017,8.753333,7495500,2215.199951,8131,40.32,1729700
10/20/2017,8.879333,4353000,2182.800049,4936,40.880001,1932000
10/23/2017,9.022,7243500,2149.199951,6297,40.459999,1741100
10/24/2017,9.206,5085000,2106,3393,40.650002,1370500
10/25/2017,8.846667,12625500,2188.800049,11049,40.07,3105300
10/26/2017,9.005333,5766000,2149.199951,6394,40.200001,1953000
10/27/2017,9.557333,9070500,2012.400024,5986,41.150002,1782700
10/30/2017,9.647333,7716000,1998,4850,40.73,1209800
10/31/2017,9.864,5248500,1948.800049,4043,40.869999,1028600
11/1/2017,9.772,7902000,1969.199951,5513,41.07,1333500
11/2/2017,9.901333,6831000,1942.800049,4179,41.099998,1400900
11/3/2017,10.429333,11805000,1840.800049,9127,41.459999,1464600
11/6/2017,10.873333,10276500,1762.800049,9473,41.630001,1080100
